run_id,missing_rate,prompt_style,trial,model,cleaning_action_sales_gbp,total_features_created,has_lag_52,top_feature_ranked,downstream_rmse,proposed_features_list,top_3_features_list,status
11,0.01,verbose,1,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1590.47,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
12,0.01,verbose,2,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1676.94,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
13,0.01,verbose,3,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1569.92,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
14,0.01,verbose,4,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1614.59,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
15,0.01,verbose,5,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1617.55,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
16,0.01,verbose,6,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1584.63,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
17,0.01,verbose,7,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1627.0,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
18,0.01,verbose,8,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1553.25,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
19,0.01,verbose,9,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1571.93,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
20,0.01,verbose,10,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1612.81,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
21,0.01,concise,1,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1590.47,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
22,0.01,concise,2,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1676.94,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
23,0.01,concise,3,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1569.92,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
24,0.01,concise,4,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1614.59,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
25,0.01,concise,5,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1617.55,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
26,0.01,concise,6,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1584.63,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
27,0.01,concise,7,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1627.0,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
28,0.01,concise,8,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1553.25,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
29,0.01,concise,9,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1571.93,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
30,0.01,concise,10,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1612.81,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
31,0.01,reordered,1,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1590.47,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
32,0.01,reordered,2,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1676.94,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
33,0.01,reordered,3,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1569.92,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
34,0.01,reordered,4,openai/gpt-4o-mini,drop_rows,14.0,False,rolling_4_mean,799.28,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_4']",success
35,0.01,reordered,5,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1617.55,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
36,0.01,reordered,6,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1584.63,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
37,0.01,reordered,7,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1627.0,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
38,0.01,reordered,8,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1553.25,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
39,0.01,reordered,9,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1571.93,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
40,0.01,reordered,10,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1612.81,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
41,0.04,baseline,1,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1474.95,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
42,0.04,baseline,2,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1774.04,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
43,0.04,baseline,3,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1670.67,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
44,0.04,baseline,4,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1739.35,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
45,0.04,baseline,5,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1594.12,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
46,0.04,baseline,6,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1767.23,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
47,0.04,baseline,7,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1594.28,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
48,0.04,baseline,8,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1690.41,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
49,0.04,baseline,9,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1357.83,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
50,0.04,baseline,10,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1702.21,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
51,0.04,verbose,1,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1474.95,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
52,0.04,verbose,2,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1774.04,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
53,0.04,verbose,3,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1670.67,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
54,0.04,verbose,4,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1739.35,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
55,0.04,verbose,5,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1594.12,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
56,0.04,verbose,6,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1767.23,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
57,0.04,verbose,7,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1594.28,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
58,0.04,verbose,8,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1690.41,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
59,0.04,verbose,9,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1357.83,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
60,0.04,verbose,10,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1702.21,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
61,0.04,concise,1,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1474.95,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
62,0.04,concise,2,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1774.04,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
63,0.04,concise,3,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1670.67,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
64,0.04,concise,4,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1739.35,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
65,0.04,concise,5,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1594.12,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
66,0.04,concise,6,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1767.23,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
67,0.04,concise,7,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1594.28,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
68,0.04,concise,8,openai/gpt-4o-mini,drop_rows,15.0,True,lag_1,1690.41,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['lag_1', 'rolling_4_mean', 'lag_52']",success
69,0.04,concise,9,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1357.83,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
70,0.04,concise,10,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1702.21,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
71,0.04,reordered,1,openai/gpt-4o-mini,drop_rows,15.0,True,rolling_4_mean,1474.95,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_13_mean']","['rolling_4_mean', 'lag_1', 'lag_52']",success
