run_id,missing_rate,prompt_style,trial,model,cleaning_action_sales_gbp,total_features_created,has_lag_52,top_feature_ranked,downstream_rmse,proposed_features_list,top_3_features_list,status
41,0.04,baseline,1,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1627.35,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'rolling_4_mean', 'rolling_4_std']",success
42,0.04,baseline,2,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1800.02,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'rolling_4_std', 'rolling_4_mean']",success
43,0.04,baseline,3,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_52,1527.27,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_52_mean']","['lag_52', 'rolling_52_mean', 'lag_1']",success
44,0.04,baseline,4,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1670.48,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'rolling_4_mean', 'rolling_4_std']",success
45,0.04,baseline,5,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1612.12,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_13_std']","['lag_1', 'lag_52', 'rolling_4_mean']",success
46,0.04,baseline,6,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1832.97,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'rolling_4_std', 'rolling_4_mean']",success
47,0.04,baseline,7,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1654.65,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'rolling_4_mean', 'rolling_4_std']",success
48,0.04,baseline,8,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1603.57,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'rolling_4_std', 'rolling_4_mean']",success
49,0.04,baseline,9,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1674.65,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_13_std']","['lag_1', 'rolling_4_std', 'rolling_4_mean']",success
50,0.04,baseline,10,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1630.11,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'rolling_4_std', 'rolling_4_mean']",success
51,0.04,verbose,1,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1627.35,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'rolling_4_mean', 'rolling_4_std']",success
52,0.04,verbose,2,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1800.02,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'rolling_4_std', 'rolling_4_mean']",success
53,0.04,verbose,3,anthropic/claude-3.5-sonnet,drop_rows,17,True,lag_52,1516.46,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_52_mean']","['lag_52', 'lag_1', 'rolling_52_mean']",success
54,0.04,verbose,4,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1670.48,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'rolling_4_mean', 'rolling_4_std']",success
55,0.04,verbose,5,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1594.9,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'lag_52', 'rolling_4_mean']",success
56,0.04,verbose,6,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1747.46,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_52_mean']","['lag_1', 'rolling_4_std', 'rolling_52_mean']",success
57,0.04,verbose,7,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1672.76,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_52_mean']","['lag_1', 'rolling_4_std', 'rolling_4_mean']",success
58,0.04,verbose,8,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1603.57,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'rolling_4_std', 'rolling_4_mean']",success
59,0.04,verbose,9,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1703.64,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'rolling_4_std', 'rolling_4_mean']",success
60,0.04,verbose,10,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1630.11,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'rolling_4_std', 'rolling_4_mean']",success
61,0.04,concise,1,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1616.17,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_13_std']","['lag_1', 'rolling_4_mean', 'rolling_4_std']",success
62,0.04,concise,2,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_1,1800.02,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_1', 'rolling_4_std', 'rolling_4_mean']",success
63,0.04,concise,3,anthropic/claude-3.5-sonnet,drop_rows,18,True,lag_52,1485.62,"['units_sold', 'promotions_active', 'store_count', 'week_of_year', 'month', 'quarter', 'category_Electronics', 'category_Food', 'category_Home & Garden', 'category_Sports', 'lag_1', 'lag_4', 'lag_13', 'lag_52', 'rolling_4_mean', 'rolling_4_std', 'rolling_13_mean', 'rolling_26_mean']","['lag_52', 'lag_1', 'rolling_4_mean']",success
